"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.380356908E2,6.012169313E1,2.445465821E1,2.361458731E1,1.299999952E0,7.559999847E1,9.935046196E0,2.500000000E0
1.390354805E2,6.012169525E1,2.445468031E1,2.377593150E1,1.279999971E0,7.830000305E1,9.935046196E0,2.500000000E0
1.400351807E2,6.012169700E1,2.445470357E1,2.381862534E1,1.370000005E0,7.819999695E1,9.935046196E0,2.500000000E0
1.410357091E2,6.012169942E1,2.445472768E1,2.379479132E1,1.340000033E0,7.750000000E1,9.935046196E0,2.500000000E0
1.420349319E2,6.012170139E1,2.445475165E1,2.393282282E1,1.320000052E0,7.790000153E1,9.935046196E0,2.500000000E0
1.430358061E2,6.012170341E1,2.445477606E1,2.394707558E1,1.309999943E0,7.750000000E1,9.935046196E0,2.500000000E0
1.440352523E2,6.012170556E1,2.445480103E1,2.382900475E1,1.419999957E0,7.850000000E1,9.935046196E0,2.500000000E0
1.450348031E2,6.012170782E1,2.445482700E1,2.367815931E1,1.440000057E0,7.830000305E1,9.935046196E0,2.500000000E0
1.460351745E2,6.012171005E1,2.445485321E1,2.379867654E1,1.529999971E0,8.050000000E1,9.935046196E0,2.500000000E0
1.470348531E2,6.012171204E1,2.445488068E1,2.400549948E1,1.570000052E0,8.159999847E1,9.935046196E0,2.500000000E0
1.480348947E2,6.012171388E1,2.445491026E1,2.428141730E1,1.659999967E0,8.230000305E1,9.935046196E0,2.500000000E0
1.490354016E2,6.012171574E1,2.445494003E1,2.438173721E1,1.590000033E0,8.230000305E1,9.935046196E0,2.500000000E0
1.500355384E2,6.012171740E1,2.445496949E1,2.409558229E1,1.570000052E0,8.309999847E1,9.935046196E0,2.500000000E0
1.510353621E2,6.012171867E1,2.445499901E1,2.415580240E1,1.580000043E0,8.459999847E1,9.935046196E0,2.500000000E0
1.520358201E2,6.012171945E1,2.445502876E1,2.426546182E1,1.629999995E0,8.680000305E1,9.935046196E0,2.500000000E0
